"Datum und Uhrzeit","PH Theater","PP Hörsterplatz","PH Alter Steinweg",Busparkplatz,"PP Schlossplatz Nord","PP Schlossplatz Süd","PH Aegidii","PP Georgskommende","PH Münster Arkaden","PH Karstadt","PH Stubengasse","PH Bremer Platz","PH Engelenschanze","PH Bahnhofstraße","PH Cineplex","PH Stadthaus 3"
"2020-11-28 21:20",662,0,354,0,0,10,706,20,139,156,289,237,432,283,522,172
"2020-11-28 21:25",663,0,355,0,0,10,706,20,139,156,290,237,432,284,521,172
"2020-11-28 21:30",663,0,355,0,0,10,707,20,139,156,289,237,432,284,522,172
"2020-11-28 21:35",663,0,355,0,0,10,707,20,139,156,290,237,433,284,522,172
"2020-11-28 21:40",663,0,355,0,0,10,707,20,139,156,290,237,433,284,522,172
"2020-11-28 21:45",612,0,328,0,0,10,653,20,139,144,268,219,399,263,485,158
"2020-11-28 21:50",612,0,328,0,0,10,654,20,139,144,268,218,400,262,485,158
"2020-11-28 21:55",612,0,328,0,0,10,654,20,139,144,268,218,400,262,485,158
"2020-11-28 22:00",612,0,329,0,0,10,654,20,139,144,268,218,400,262,485,158
"2020-11-28 22:05",612,0,329,0,0,10,654,20,139,144,268,219,400,262,485,158
"2020-11-28 22:10",612,0,329,0,0,10,654,20,139,144,268,220,400,262,485,159
"2020-11-28 22:15",613,0,329,0,0,10,654,20,139,144,268,221,401,262,485,158
"2020-11-28 22:20",612,0,329,0,0,10,654,20,139,144,268,220,401,263,485,158
"2020-11-28 22:25",612,0,329,0,0,10,654,20,139,144,268,221,401,263,485,158
"2020-11-28 22:30",612,0,329,0,0,10,654,20,139,144,268,221,401,263,485,158
"2020-11-28 22:35",613,0,329,0,0,10,654,20,139,144,268,221,401,263,485,158
"2020-11-28 22:40",613,0,329,0,0,9,654,20,139,144,268,221,401,263,485,158
"2020-11-28 22:45",613,0,329,0,0,9,655,20,139,144,268,221,401,263,485,158
"2020-11-28 22:50",613,0,329,0,0,9,655,20,139,144,268,221,401,263,485,159
"2020-11-28 22:55",613,0,329,0,0,9,655,20,116,144,268,221,401,263,485,159
"2020-11-28 23:00",613,0,329,0,0,9,655,20,70,144,268,221,401,263,485,159
"2020-11-28 23:05",613,0,329,0,0,9,655,20,70,144,268,221,401,263,485,159
"2020-11-28 23:10",613,0,329,0,0,9,655,20,70,144,268,221,401,263,485,159
"2020-11-28 23:15",613,0,329,0,0,9,655,20,70,144,268,221,401,263,485,159
"2020-11-28 23:20",613,0,329,0,0,9,655,20,70,144,268,221,401,263,485,159
"2020-11-28 23:25",613,0,329,0,0,9,655,20,70,144,268,221,401,263,485,159
"2020-11-28 23:30",613,0,329,0,0,9,655,20,70,144,268,221,401,263,485,159
"2020-11-28 23:35",613,0,329,0,0,9,655,20,70,144,268,221,401,263,485,159
"2020-11-28 23:40",613,0,329,0,0,9,655,20,70,144,268,221,401,263,485,159
"2020-11-28 23:45",613,0,329,0,0,9,655,20,70,144,268,221,401,263,485,159
"2020-11-28 23:50",613,0,329,0,0,9,655,20,70,144,268,221,401,263,485,159
"2020-11-28 23:55",511,0,276,0,0,9,546,0,58,120,224,185,334,220,412,132
